AvgBudget | 1980: 12103191.49
AvgBudget | 1992: 19764013.2
AvgBudget | 2015: 46682332.15
AvgBudget | 1981: 10433088.24
AvgBudget | 2007: 45003248.41
AvgBudget | 2017: 55712030.08
AvgBudget | 1984: 12267318.68
AvgBudget | 2012: 47713466.75
AvgBudget | 2000: 38897239.26
AvgBudget | 1983: 10044669.24
AvgBudget | 1986: 12522647.29
AvgBudget | 2001: 38833132.53
AvgBudget | 2011: 49179562.5
AvgBudget | 1993: 18648263.88
AvgBudget | 2010: 46663109.76
AvgBudget | 1991: 19553862.07
AvgBudget | 1994: 25197323.78
AvgBudget | 2008: 43527500.0
AvgBudget | 1999: 41115487.8
AvgBudget | 1996: 28781805.56
AvgBudget | 2006: 43638414.63
AvgBudget | 1988: 13011578.95
AvgBudget | 1987: 12801321.09
AvgBudget | 2018: 49041818.18
AvgBudget | 2002: 36622132.75
AvgBudget | 1982: 11306351.35
AvgBudget | 1997: 35040966.67
AvgBudget | 1998: 36659503.36
AvgBudget | 1995: 25502401.13
AvgBudget | 1985: 12454183.67
AvgBudget | 1989: 14998004.86
AvgBudget | 2005: 42291141.18
AvgBudget | 2004: 44286879.75
AvgBudget | 2020: 57531050.0
AvgBudget | 2016: 55261006.29
AvgBudget | 2009: 43991228.07
AvgBudget | 2013: 50320931.68
AvgBudget | 1990: 18340734.51
AvgBudget | 2003: 41499559.75
AvgBudget | 2014: 45731901.84
AvgBudget | 2019: 57401293.1
