TotalGross | Fantasy: 1664501135.0
TotalGross | Romance: 188394999.0
TotalGross | Biography: 20729581801.0
TotalGross | Crime: 21355448322.0
TotalGross | Adventure: 45916596693.0
TotalGross | Thriller: 323223113.0
TotalGross | Musical: 5190692.0
TotalGross | Action: 243435855754.0
TotalGross | Music: 110014.0
TotalGross | Western: 32025886.0
TotalGross | Sport: 1067629.0
TotalGross | Family: 2157897417.0
TotalGross | Mystery: 2023670554.0
TotalGross | Horror: 14543329602.0
TotalGross | Animation: 80142045796.0
TotalGross | Sci-Fi: 260489866.0
TotalGross | Comedy: 97175468462.0
TotalGross | Drama: 57150648537.0
